溪流名稱,別名
一坑,
一溪,
一號溪,
丁子漏溪,
丁子蘭坑,
丁子蘭溪,
七公圳,
七分坑,
七打高溪,
七里溪,
七里溪,十里溪
七佳溪,
七股坑,
七股溪,劉厝排水
七星堆埤,
七家灣溪,
七番埤,
九仙溪,
九芎坑溪,
九芎林圳,
九芎埤,
九芎湖,
九岸溪,金仔溝溪
九岸溪上游,金仔溝溪
九狗溪,
九崁溝,
九棚溪,
九湖圳,
九番埤,
二八張溝,
二仁溪,二層行溪
二仁溪,
二本松溪,
二甲溪,
二坑,
二坪圳,
二林溪,
二林溪,沙山溪
二重溪,
二重嶺溪,
二埤,
二溪,
二號溪,
二寮坑,
二寮溪,
二龍河,
二櫃溪,
二鬮溪,
入莊圳,
八尺門港,
八甲溪,
八角坑,
八角林河,
八角塘,
八里溪,
八卦力溪,
八股坑,
八股埤,
八堵毛溪,
八連圳,
八連頂溪,
八連溪,
八連溪,八蓮溪
八頂溪,
八掌溪,
八煙溪,
八寮灣圳,
八邊溪,
八寶圳河道,
刀石坑,
力力溪,
力力溪,力里溪
十一分埤,
十九份溪,
十二小給線,
十二分坑,
十二寮大埤,
十八份坑溪,
十八重溪,
十三分坑,
十五小給線,
十五間溪,
十文溪,
十四小給線,
十四坑,
十四寮大埤,
十股坑,
十股溪,
十區埤,
十張犁圳,
十硿子溪,石硿子溪
三叉坑溪,
三屯圳,
三仙溪,
三民溪,
三份圳,
三份坑,
三光溪,
三合溪,
三百六坑,
三坎溝,
三坑,
三坑溪,
三姓公溪,
三股溪,大塭寮大排
三重溪,
三重歷溪,
三家春坑,
三峽河,三峽溪
三峽溪,
三條圳幹線第一支線,
三條崙漁港,
三笠溪,
三富溪,
三棧北溪,
三棧南溪,
三棧溪,
三間二號圳,
三間屋溪,
三塊石埤,
三塊厝排水,
三塊厝溝,
三爺溪排水,
三爺溪排水,"三爺溪,三爺宮溪"
三號溪,
三寮灣溪,
三層坪坑,
三興坑排水,
三疊溪,
三灣圳,
上大埤頭,
上水圳,
上四座屋圳,
上坑,
上坑支線,
上坪圳,
上坪溪,
上坪攔河堰導水路,
上林圳,
上茄苳埤,
下大坑,
下山坑排水,
下山溪,
下木浪坑,
下田溪,
下圭柔山溪,
下冷水坑圳,
下坑,
下坑溪,
下角港溪,
下坪仔排水,
下淡水溪支流,
下陰影窩溪,
下勞灣溪,樂合溪
下痢坑,
下塘埤,
下廍溪,
下廓溪,
下寮溪,
下橫坑,
下橫坑溪,
下龍貍溪,
丸田溪,
口社溪,
口隘溪,
土人頭坑,
土地公坑,土地公坑溪
土地公坑,
土地公埔一圳,
土地公埤,
土地公溪,
土南坑,
土城溪,
土埋坑,
土庫溪,
土場溪,
土場溪,多望溪
土濁坑,
土龍溝埤,
士文溪,
大山坑,
大山溝,
大不岸溪,
大內坑溪,
大屯溪,
大牛林坑,
大丘園坑,
大北坑,
大北坑溪,
大北勢溪,
大古溪,
大平坑,
大平窩溪,
大甲九圳,
大甲溪,
大甲溪口,
大目幹溪,
大石坑,
大石板溪,
大石股圳,
大光明圳,
大宅坑,
大安圳幹線,
大安圳幹線媽祖田支線,
大安溪,
大庄排水,
大竹圍一圳,
大竹溪,
大冷坑,
大坑,
大坑缺溪,
大坑溝,
大坑溪,
大坑溪,"舊莊溪,東勢坑溪"
大沙溪,
大肚溪,
大肚溪大排,
大肚滑溪,
大里溪,
大和溪,
大坡池,
大坡溪,
大坡腳埤,
大坪圳,
大坪坑,
大坪林西幹線,
大坪林東幹線,
大坪溪,
大東坑,
大東河,
大東河,東河溪
大東勢溪,
大林圳,
大武崙溪,
大武溪,茶茶牙賴溪
大武溪,
大社溪,
大金面第一湧泉圳,
大金面第二湧泉圳,
大金面湧泉圳,
大南坑,
大南河,
大南埔圳,
大南溪,
大南澳圳第一幹線,
大後溪,托阿沃溪
大流溪,
大茅埔圳,
大俱來一號圳,
大埔坑,
大埔美溪,
大埔埤,
大埔溪,
大峰峰圳,
大烏溪,
大草埤,
大草庴埤,
大草排坑,
大荖藤溪,
大豹溪,
大匏崙溝,
大埤,
大埤溝,
大埤潭,
大堀溪,
大崙坑,
大崙湖,
大崙溝,
大崙溪,
大崛坑,
大梅溪,
大深坑,
大清水溪,
大莊埤,
大雪溪,
大鳥溪,
大富溪,
大湖(十四分坪),
大湖口溪,
大湖坑,
大湖底溪,
大湖桶坑,
大湖溝,
大湖溪,
大塭寮排水,三股溪
大溪,
大溪,石門溪
大溪川,大溪溪
大溪溪,
大溪墘溪,
大溪墘溪支線,
大窠坑溪,
大窠溪,
大鼎埤,
大慈湖,
大漢溪,大嵙崁溪
大漢溪上游,
大窩圳,
大窩溝,
大寮溪,
大德溪,
大潭,
大潭埤,
大學池,
大興溪,
大龜崙圳,
大濱溪,
大礁溪,
大礁溪池,
大豐溪,
大羅蘭溪,
大灣溪,
小丁子蘭坑,
小北勢溪,
小半山排水,
小瓦黑爾溪,
小冷坑,
小坑,
小坑仔溪,
小坑溪,
小貝湖,
小東坑,
小東河,
小東勢溪,
小金面第二湧泉圳,
小南灣坑,
小埤,
小埤潭,
小清水溪,
小雪溪,
小飯壢溪,
小路溪,
小礁溪,
山有麻坑,
山坑排水,
山車廣溪,
山里一號溪,
山里溪,
山坪頂乾坑,
山柑溪,
山茶鍋坑,
山間溪,
山黃麻湖溪,
山腳圳,
山腳埤,
山豬堀下坑,
山豬堀頂坑,
山興圳一支線,
山興圳二支線,
山興圳三支線,
山興圳五支線,
山興圳四支線,
工寮坑,
不老溪,
不知春排水溝,
中心崙坑,
中心漁港,
中平溪,
中正湖,
中田寮二圳,
中坑,
中坑圳幹線,
中坑埤,
中坑溝,
中坑溪,
中林溝,
中林溪,
中羌仔寮溪,
中芸漁港,
中洲漁港,
中埔子圳,
中埔溪,
中埤,
中崙溝,
中崙溪,
中莊大排水溝,
中莊溪,
中野溪,
中嵙溪,
中港,
中港溪,
中間溪,
中溝,
中路坑,
中興湖,
中濱溪,
中營圳,
丹大西溪,
丹大東溪,
丹大溪,
五十溪,
五分二圳,
五分坪二圳,
五分港溪,
五爪庵坑,
五凸分溝,
五甲漁港,
五里坑,
五里坑溝,
五里埔圳,
五股坑溪,
五重溪,
五崁溪,
五座屋下三嵌店圳,
五座屋圳,
五票坑,
五棚坑,
五湖上圳,
五湖中圳,
五溝水圳,
五溝水圳二線,
五溝水圳五線,
五溝水圳四線,
五福溪,
五寮河,
五權溪,
井子腳溝湖溝,
井仔坑,
井仔埤,
仁愛河,
仁義潭水庫,
內田子溪,
內田排水排水路,鹿草溪
內立坑,
內底林圳,
內林溪,
內社溪,
內城圳,
內城排水,
內洞溪,
內茅埔溪,
內埔子水庫(虎頭坎埤),
內埔子圳幹線,
內埔坑,
內島溪,
內埤漁港,
內惟埤,
內惟埤九分圳,
內惟埤排水溝,
內湖大埤,
內湖溪,
內暗坑,
內溝溪,
內寮溪,
內潭埤,
內險坑,
內雙溪,
內灣圳,
內灣坑,
公司田溪,
公田埤,
公林溪,
公埤,
公館支線,
六斗坑,六斗坑溪
六斗坑,
六古溪,
六甲坑,
六甲溪,
六秀坑,
六股埤,
六股溪,
六股溪,六股溪排水
六界溪,
六重溪,
六塊厝漁港,
六雙溪,
匹亞桑溪,
双叉坑溪,
天河水庫,
天狗溪,田古爾溪
天長溪,
天然釣魚池,
太平一圳,
太平二圳,
太平坑,
太平溪,
太平溪,大巴六九溪
太石盤溪,
太多蘭溪,
太麻里溪,
太陽埤,
夫布爾溪,
少年溪,布唐布那斯溪
巴巴那班溪,
巴拉吾溪,
巴拉歐溪,
巴油溪,
巴朗溪,
扎孔溪,
扎孔溪,"札孔溪,軋孔溪"
文壯溪,
文秀坑,
文秀坑溪,
文里溪,
文賢溪,
文蘭溪,
斗六東溪,
斗里斗里溪,
斗門埤,
斗涵坑,
斗羅溪,
日月潭,
日本坑,
日石埤,
月眉二圳,
月眉圳,
月桂溪,
月桃溪,
木瓜溪,
木坑溪,
木屐溪,
木勝溪,
比林溪,
水井湖坑,
水母丁溪,
水母北溪,
水母溪,
水坑,
水坑溪,
水尾圳,
水尾坪圳,
水尾溝,
水汴頭上圳,
水里溪,
水底寮圳,
水底寮圳幹線,
水底寮坑,
水底寮溪,
水社水尾溪,
水長流溪,
水流東坑,
水流東坑第二支線,
水流東溪,
水流東溪支流,
水流娘圳,
水笨流溪,
水連溪,水璉溪
水湳洞船澳,
水碓子圳,
水碓窠溪,
水粯頭圳,
水道坑,
水雉埤,
水璉溪,
水磨坑溪,
水頭屋圳,
水頭寮圳,
火培溪,
火燒寮坑,
火燒寮溪,
牛山溪,
牛角坑,牛角坑溪
牛角坑溝,
牛角坑溪,
牛角南埤,
牛角灣溪,涼山溪
牛角灣溪,
牛角灣溪(涼山溪),
牛坪坑,
牛挑灣溪,
牛相觸一號坑,
牛相觸二號坑,
牛相觸圳,
牛埔子溪,
牛埔溪,
牛埔溪,牛埔子溪
牛稠坑排水溝,
牛稠坑溪,
牛稠埔坑,
牛稠埔坑溪,
牛稠埔溪,
牛稠埤,
牛稠港,
牛稠溪,
牛運堀排水,
牛寮溝,
牛寮溪,
牛轀轆圳,
牛欄坑,
牛欄坑溪,
牛欄河,
王功漁港,
王爺坑,
王榜圳,
他里霧埤,
仙人圳幹線,
仙人圳幹線下崁支線,
仙人圳幹線新寮支線,
仙水坑,
仙洞指坑,
仙洞指坑溪,
仙草埔溪,
冬山河,
冬山河舊道,
凸鼻溪,
出水坑,
出水溪,
加九寮溪,
加冬坑,
加正坑圳,
加走埤,
加走寮溪,
加里坑溪,
加里洞溪,卡里屯溪
加典溪,
加拉板溪,
加津林溪,
加拿水溪,
加拿典溪,
加拿溪,
加納富溪,
加都魯溪,
加鹿溪,
加塱溪,
加路蘭溪,加蘭溪
加龍溪,
加蘭溪,
包安溪,
包安溪,北山坑
北山坑圳,
北山坑溪,木履欄溪
北山坑溪,
北太麻里溪,
北斗溪,
北片坑,
北打鐵坑,
北圳,
北圳南線分圳,
北坑,
北坑,水璉北溪
北坑圳,
北坑溝,
北坑溪,
北势溪,
北岡坑溪,
北岸河,
北底溪,
北門口二圳,
北門坑,
北門漁港,
北峰溪,
北清水溪,
北港溪,
北絲鬮溪,
北勢坑,
北勢坑溪,
北勢埤,
北勢溪,
北勢溪,新港溪
北勢溪(新港溪),
北勢溪排水,
北勢窩溪,
北勢寮溪,
北溝溪,
北溪,
北寮坑溪,
北寮溪,
北麒麟溪,
半山坑排水,
半屏溪,
半嶺溪,
卡丹溪,
卡布里娃欄溪,
卡拉溪,
卡社北溪,
卡社溪,
卡南溪,
古井坑,
古老埤,
古拉溪,庫拉濃溪
古風溪,
古楓溪,
