name,wikiID,alt,city,midpointX,midpointY,,Y+X
一坑,,,宜蘭縣,121.571,24.6197,,"24.6197,121.571"
一溪,,,高雄市,120.723,23.2814,,"23.2814,120.723"
一號溪,,,南投縣,120.871,23.5759,,"23.5759,120.871"
丁子漏溪,,,花蓮縣,121.481,23.5995,,"23.5995,121.481"
丁子蘭坑,,,新北市,121.858,24.9923,,"24.9923,121.858"
丁子蘭溪,,,新北市,121.875,25.0228,,"25.0228,121.875"
七公圳,,,臺中市,120.755,24.3247,,"24.3247,120.755"
七分坑,,,臺中市,120.778,24.2308,,"24.2308,120.778"
七打高溪,,,屏東縣,120.68,22.29,,"22.29,120.68"
七里溪,Q10864811,十里溪,屏東縣,120.661,22.2913,,"22.2913,120.661"
七里溪,,,台東縣,121.275544,22.934797,,"22.934797,121.275544"
七佳溪,,,屏東縣,120.736,22.4876,,"22.4876,120.736"
七股坑,,,苗栗縣,120.844,24.3235,,"24.3235,120.844"
七股溪,Q35331776,劉厝排水,臺南市,120.151,23.1346,,"23.1346,120.151"
七星堆埤,,,桃園市,121.223,25.0425,,"25.0425,121.223"
七家灣溪,Q10864577,,臺中市,121.31,24.3733,,"24.3733,121.31"
七番埤,,,高雄市,120.326,22.6869,,"22.6869,120.326"
九仙溪,,,南投縣,121.09,24.1522,,"24.1522,121.09"
九芎坑溪,,,嘉義縣,120.548,23.5656,,"23.5656,120.548"
九芎林圳,,,南投縣,121.006,23.9795,,"23.9795,121.006"
九芎埤,,,嘉義縣,120.37,23.4626,,"23.4626,120.37"
九芎湖,,,宜蘭縣,121.608,24.6541,,"24.6541,121.608"
九岸溪,,金仔溝溪,花蓮縣,121.319,23.1957,,"23.1957,121.319"
九狗溪,,,屏東縣,120.483,22.4995,,"22.4995,120.483"
九崁溝,,,"高雄市,臺南市",120.374,22.9271,,"22.9271,120.374"
九棚溪,Q10878902,,屏東縣,120.86636,22.115066,,"22.115066,120.86636"
九湖圳,,,苗栗縣,120.772,24.4509,,"24.4509,120.772"
九番埤,,,高雄市,120.329,22.6913,,"22.6913,120.329"
二仁溪,Q700777,二層行溪,"高雄市,臺南市",120.441,22.8772,,"22.8772,120.441"
二甲溪,,,臺南市,120.284,22.9544,,"22.9544,120.284"
二坑,,,宜蘭縣,121.579,24.6196,,"24.6196,121.579"
二坪圳,,,新北市,121.635,25.1687,,"25.1687,121.635"
二林溪,Q32751107,沙山溪,彰化縣,120.352,23.9006,,"23.9006,120.352"
二重溪,,,高雄市,120.455,22.7755,,"22.7755,120.455"
二重溪,,,屏東縣,121.163,24.9001,,"24.9001,121.163"
二重溪,,,臺中市,120.704,24.1595,,"24.1595,120.704"
二重溪,,,桃園市,121.158,24.9083,,"24.9083,121.158"
二重嶺溪,,,臺南市,120.402,22.9563,,"22.9563,120.402"
二埤,,,桃園市,121.221,24.8379,,"24.8379,121.221"
二溪,,,雲林縣,120.622,23.6195,,"23.6195,120.622"
二號溪,,,南投縣,120.866,23.5671,,"23.5671,120.866"
二寮坑,,,苗栗縣,120.934,24.6003,,"24.6003,120.934"
二寮溪,,,"嘉義縣,高雄市",120.647,23.2577,,"23.2577,120.647"
二櫃溪,,,臺中市,120.863,24.1196,,"24.1196,120.863"
二鬮溪,Q64827470,,新北市,121.351,24.9038,,"24.9038,121.351"
入莊圳,,,臺中市,120.79,24.3007,,"24.3007,120.79"
八尺門港,,,基隆市,121.773,25.1549,,"25.1549,121.773"
八甲溪,Q10892312,,新北市,121.530412,25.278265,,"25.278265,121.530412"
八角坑,,,苗栗縣,120.887,24.4872,,"24.4872,120.887"
八角林河,,,苗栗縣,120.895,24.4854,,"24.4854,120.895"
八角塘,,,桃園市,121.193,24.9183,,"24.9183,121.193"
八里溪,Q10892491,,臺東縣,121.238,22.8868,,"22.8868,121.238"
八卦力溪,,,苗栗縣,120.951,24.4966,,"24.4966,120.951"
八股坑,,,彰化縣,120.593,24.0312,,"24.0312,120.593"
八股埤,,,桃園市,121.15,25.0469,,"25.0469,121.15"
八堵毛溪,,,花蓮縣,121.583,24.013,,"24.013,121.583"
八連圳,,,新北市,121.506,25.2409,,"25.2409,121.506"
八連頂溪,,,新北市,121.513,25.2378,,"25.2378,121.513"
八連溪,Q10892431,八蓮溪,新北市,121.499,25.2539,,"25.2539,121.499"
八頂溪,,,南投縣,120.938,23.5668,,"23.5668,120.938"
八掌溪,Q699075,,"臺南市,嘉義縣,嘉義市",120.187,23.3012,,"23.3012,120.187"
八煙溪,,,新北市,121.597,25.1942,,"25.1942,121.597"
