項次,縣市別,執行機關,工程名稱,"TWD97座標
(X)","TWD97座標
(Y)","總經費
(千元)","總中央款
(千元)","總地方款
(千元)",備註,,
1,宜蘭縣,宜蘭縣政府,淋漓坑排水改善應急工程,323113.446,2727206.42," 39,895 "," 32,714 "," 7,181 ",,,
2,宜蘭縣,宜蘭縣政府,永春昆明排水改善應急工程,335888.315,2720830.474," 7,300 "," 5,986 "," 1,314 ",,,
3,基隆市,基隆市政府,石厝坑溪自強里護岸應急工程,321885,2778120," 5,000 "," 3,900 "," 1,100 ",,,
4,新北市,新北市政府,外股排水支線縣道106下游護岸改善應急工程,310223.8,2766467.73," 8,000 "," 5,600 "," 2,400 ",,,
5,新北市,新北市政府,員潭溪第44號橋下游段瓶頸及護岸改善應急工程,315391.622,2790717.504," 9,550 "," 6,685 "," 2,865 ",,,
6,桃園市,桃園市政府,新街溪埔頂橋至無名橋2(斷面95-1～105-1)排水改善應急工程,273109,2760884," 46,429 "," 32,500 "," 13,929 ",,,
7,桃園市,桃園市政府,茄苳溪桃園大圳上游至成功橋段護岸改善應急工程,278660.066,2762481.766," 25,000 "," 17,500 "," 7,500 ",,,
8,新竹縣,新竹縣政府,寶1-1排水(水尾溝)斷面2-5.1及斷面8.2-13護岸新建應急工程,248886,2739516," 28,768 "," 22,439 "," 6,329 ",,,
9,新竹縣,新竹縣政府,豆子埔溪幹線護岸改善應急工程,254809,2745381," 14,000 "," 10,920 "," 3,080 ",,,
10,新竹市,新竹市政府,溪埔子排水幹線(河心累距2k+486~2k+566)水源二號橋上游右岸護岸新建及橋梁改建應急工程,249187,2744821," 15,000 "," 11,700 "," 3,300 ",,,
11,苗栗縣,苗栗縣政府,新港溪排水(河心累距4K+257~4K+351)左岸護岸新建應急工程,239177,2733534," 4,460 "," 4,014 ", 446 ,,,
12,苗栗縣,苗栗縣政府,老庄溪(河心累距9K+871~10K+174)護岸改善應急工程,235018,2689133," 11,750 "," 10,575 "," 1,175 ",,,
13,苗栗縣,苗栗縣政府,圳頭溪(河心累距5K+084~5K+130)護岸新建應急工程,221733,2707721," 2,800 "," 2,520 ", 280 ,,,
14,苗栗縣,苗栗縣政府,土牛溪(河心累距4K+730~4K+840)左岸護岸新建應急工程,244441,2730714," 7,560 "," 6,804 ", 756 ,,,
15,臺中市,臺中市政府,大雅區十三寮排水雅秀一橋下游溝渠左岸土堤改建應急工程,213482.26,2680281," 10,000 "," 7,000 "," 3,000 ",,,
16,臺中市,臺中市政府,東勢區沙連溪新嵙橋下游左側護岸改善應急工程,233472,2683797," 9,000 "," 6,300 "," 2,700 ",,,
17,南投縣,南投縣政府,南投縣鹿谷鄉加里坑溪出口段改道應急工程,228088,2633228," 38,000 "," 31,160 "," 6,840 ",,,
18,彰化縣,彰化縣政府,鹿港溪分洪出口及公館排水抽水機平台應急工程,191100,2660957.746," 10,000 "," 8,200 "," 1,800 ",,,
19,彰化縣,彰化縣政府,埔鹽排水(南新橋至永平橋段)應急工程,194999.098,2654661.289," 12,000 "," 9,840 "," 2,160 ",,,
20,彰化縣,彰化縣政府,第四放水路(新萬合段)應急工程,190696.485,2648030.198," 22,000 "," 18,040 "," 3,960 ",,,
21,彰化縣,彰化縣政府,坂本排水(大村村段)應急工程,203048.842,2654442.061," 19,500 "," 15,990 "," 3,510 ",,,
22,彰化縣,彰化縣政府,南八洲排水（台17線上游段）應急工程,185759.885,2655380.606," 9,000 "," 7,380 "," 1,620 ",,,
23,彰化縣,彰化縣政府,海豐崙排水(西勢段)應急工程,197086.123,2646366.302," 15,000 "," 12,300 "," 2,700 ",,,
24,彰化縣,彰化縣政府,下崙排水（西安巷下游段）應急工程,199402.398,2655423.788," 12,000 "," 9,840 "," 2,160 ",,,
25,彰化縣,彰化縣政府,竹圍仔排水(埤頭段)應急工程,190875.821,2642878.344," 10,000 "," 8,200 "," 1,800 ",,,
