name,alt,city,town
七家灣溪,,臺中市,和平區
三富溪,,花蓮縣,豐濱鄉
三棧溪,,花蓮縣,新城鄉
上坪溪,,新竹縣,"竹東鎮,五峰鄉,橫山鄉"
九棚溪,,屏東縣,"滿州鄉,牡丹鄉"
八連溪,八蓮溪,新北市,三芝區
八里溪,,臺東縣,東河鄉
大屯溪,,新北市,"淡水區,三芝區"
大竹溪,,臺東縣,"達仁鄉,太麻里鄉,大武鄉"
大武崙溪,,基隆市,安樂區
觀音溪,,桃園市,觀音區
力力溪,力里溪,屏東縣,"新埤鄉,來義鄉,春日鄉,枋寮鄉"
大安溪,,臺中市,"大安區,外埔區,大甲區,后里區,東勢區,和平區"
大和溪,,花蓮縣,光復鄉
大湖溪,,苗栗縣,"大湖鄉,泰安鄉,獅潭鄉"
大坪溪,,新竹縣,"北埔鄉,五峰鄉"
二林溪,沙山溪,彰化縣,"二林鎮,芳苑鄉"
灣丘溪,,臺南市,楠西區
灣潭溪,,新北市,雙溪區
巒大溪,,南投縣,信義鄉
二鬮溪,,新北市,三峽區
蘭陽溪,,宜蘭縣,"大同鄉,員山鄉,三星鄉,宜蘭市,五結鄉,壯圍鄉,安平區"
大甲溪,,臺中市,"東勢區,新社區,石岡區,豐原區,后里區,神岡區,外埔區,清水區,大甲區,大安區"
鹽水溪,,臺南市,"安平區,中西區,北區,永康區,安南區,新市區"
下寮溪,,新北市,汐止區
九芎坑溪,,嘉義縣,梅山鄉
九岸溪,金仔溝溪,花蓮縣,富里鄉
十八重溪,,南投縣,信義鄉
十硿子溪,石硿子溪,新北市,石碇區
三爺溪排水,"三爺溪,三爺宮溪",臺南市,"仁德區,南區,東區,永康區"
三疊溪,,雲林縣,大埤鄉
三疊溪,,嘉義縣,"溪口鄉,大林鎮,民雄鄉,梅山鄉"
口隘溪,,高雄市,"旗山區,內門區,杉林區"
土場溪,多望溪,宜蘭縣,大同鄉
大坡溪,,花蓮縣,富里鄉
麗太溪,,花蓮縣,光復鄉
欖仁溪,,屏東縣,滿州鄉
一甲排水,,臺南市,仁德區
一坑,,宜蘭縣,"三星鄉,大同鄉"
一溪,,高雄市,那瑪夏區
一號溪,,南投縣,信義鄉
丁子漏溪,,花蓮縣,"光復鄉,豐濱鄉"
丁子蘭坑,丁子蘭溪,新北市,雙溪區
丁子蘭溪,丁子蘭坑,新北市,雙溪區
七公圳,,臺中市,后里區
七分坑,,臺中市,"豐原區,新社區"
七分溝排水支線,,彰化縣,線西鄉
七打高溪,,屏東縣,獅子鄉
七佳溪,,屏東縣,"來義鄉,春日鄉"
七股坑,,苗栗縣,卓蘭鎮
七星堆埤,,桃園市,大園區
七星排水,,臺中市,太平區
七星溪,,臺中市,南屯區
七星潭排水,,花蓮縣,新城鄉
七張犁溪環中路截水道,,臺中市,北屯區、西屯區、潭子區
七番埤,,高雄市,仁武區
七結排水,,宜蘭縣,礁溪鄉
七嘉排水支線,,彰化縣,伸港鄉和美鎮
九十六甲埤放水排水路,,嘉義縣,新港鄉、民雄鄉
九仙溪,,南投縣,仁愛鄉
九芎林圳,,南投縣,埔里鎮
九芎埤,,嘉義縣,"太保市,水上鄉"
九芎湖,,宜蘭縣,三星鄉
九芎湖幹線,,新竹縣,新埔鎮
九車籠排水,,苗栗縣,後龍鎮、造橋鄉
九車籠排水支線,,苗栗縣,造橋鄉
九岸溪上游,金仔溝溪,花蓮縣,富里鄉
九狗溪,,屏東縣,"崁頂鄉,東港鎮"
九崁溝,,臺南市,龍崎區
九崁溝,,高雄市,田寮區
九湖圳,,苗栗縣,銅鑼鄉
九塊排水支線,,屏東縣,九如鄉
九號排水支線,,屏東縣,鹽埔鄉
九鬮排水,,高雄市,阿蓮區
二八張溝,,,
二十份排水,,苗栗縣,三義鄉
二仁溪,二層行溪,臺南市,"南區,仁德區,歸仁區,關廟區"
二仁溪,二層行溪,高雄市,"湖內區,茄萣區,路竹區,阿蓮區,田寮區"
二支排水支線,,屏東縣,新埤鄉
二本松溪,,,
二甲溪,,臺南市,"仁德區,歸仁區"
二坑,,宜蘭縣,"大同鄉,三星鄉"
二坪圳,,新北市,萬里區
二坪溪幹線,,桃園市,龍潭區
二林溪,,彰化縣,"芳苑鄉,二林鎮"
二重嶺溪,,臺南市,龍崎區
二崁2號排水路,,澎湖縣,西嶼鄉
二崁3號排水路,,澎湖縣,西嶼鄉
二埤,,桃園市,龍潭區
二崙大排,,雲林縣,二崙鄉、西螺鎮
二湖坑排水,,苗栗縣,西湖鄉、後龍鎮
二結排水,,宜蘭縣,五結鄉
二溪,,雲林縣,古坑鄉
二號溪,,南投縣,信義鄉
二寮坑,,苗栗縣,造橋鄉
二龍河,,宜蘭縣,頭城鎮
二龍排水,,宜蘭縣,礁溪鄉
二櫃溪,,臺中市,新社區
入莊圳,,臺中市,東勢區
八分寮溪,,新北市,瑞芳區
八尺門港,,基隆市,中正區
八甲頭新埤支線,,屏東縣,林邊鄉、南州鄉
八老爺排水,,臺南市,柳營區
八角坑,,苗栗縣,獅潭鄉
八角林河,,苗栗縣,獅潭鄉
八角亭大排,,雲林縣,二崙鄉、崙背鄉
八角亭第二放水路,,雲林縣,二崙鄉
八角塘,,桃園市,平鎮區
八卦力溪,,苗栗縣,泰安鄉
八股坑,,彰化縣,花壇鄉
八股埤,,桃園市,觀音區
八股排水幹線,,新竹市,香山區
八堵毛溪,,花蓮縣,秀林鄉
八張排水支線,,新北市,三峽區
八連圳,,新北市,三芝區
八連頂溪,,新北市,三芝區
八連溪,,新北市,三芝區
八頂溪,,南投縣,信義鄉
八煙溪,,新北市,金山區
八寮灣圳,,苗栗縣,大湖鄉
八邊溪,,臺東縣,成功鎮
八寶圳河道,,臺中市,石岡區
刀子坑溪,,,
刀石坑,,臺中市,潭子區
力力溪,,屏東縣,"新埤鄉,來義鄉,春日鄉"
力社排水幹線,,屏東縣,崁頂鄉
十一分埤,,桃園市,龍潭區
十一股溪排水支線,,南投縣,魚池
十七大排,,苗栗縣,後龍鎮
十九份溪,,苗栗縣,獅潭鄉
十九灣排水,,高雄市,鳥松區
十二小給線,,新北市,三芝區
十二分坑,,花蓮縣,壽豐鄉
十二甲支線,,臺中市,清水區
十二寮大埤,,新竹縣,峨眉鄉
十八份坑溪,,新北市,新莊區
十八份坑溪,,桃園市,龜山區
十八棟排水,,雲林縣,麥寮鄉
十八線中排,,雲林縣,麥寮鄉
十三分坑,,宜蘭縣,"冬山鄉,南澳鄉"
十三份坑排水,,宜蘭縣,冬山鄉
十三份排水,,雲林縣,斗六市
十三股大排,,宜蘭縣,礁溪鄉、壯圍鄉
十三寮排水,,臺中市,大雅區
十五小給線,,新北市,三芝區
十五間溪,,桃園市,新屋區
十六份排水,,宜蘭縣,冬山鄉、羅東鎮
十文溪,,臺中市,和平區
十四小給線,,新北市,三芝區
十四坑,,基隆市,七堵區
十四張圳支線,,臺中市,
十四寮大埤,,新竹縣,峨眉鄉
十股坑,十股坑排水,苗栗縣,苑裡鎮
十股坑排水,,苗栗縣,苑裡鎮
十股排水,,臺東縣,臺東市
十股溪,,宜蘭縣,礁溪鄉
十區埤,,新北市,三芝區
十張犁圳,,高雄市,杉林區
三七北圳幹線,,桃園市,楊梅區
三七南圳幹線,,桃園市,新屋區、楊梅區
三叉坑溪,,新北市,雙溪區
三屯圳,,桃園市,龍潭區
三屯圳,,新竹縣,關西鎮
三仙溪,,臺東縣,成功鎮
三仙溪排水,,花蓮縣,花蓮市
三奶壇排水,,高雄市,大社區
三民排水,,花蓮縣,玉里鎮
三民溪,,桃園市,"復興區,大溪區"
三份圳,,屏東縣,內埔鄉
三份坑,,宜蘭縣,頭城鎮
三合大排,,雲林縣,土庫鎮、虎尾鎮
三吉中排一,,臺南市,將軍區
三百六坑,,苗栗縣,造橋鄉
三坎溝,,臺南市,大內區
三坑,,宜蘭縣,大同鄉
三角泳支線,,臺中市,大雅區
三姓公溪,,新竹市,香山區
三姓溪,三姓公溪,新竹市,香山區
三股溪,大塭寮大排,臺南市,"七股區,西港區"
三舍排水,,臺南市,新市區
三星排水,,宜蘭縣,三星鄉
三界排水幹線,,新北市,金山區
三重溪,,嘉義縣,"中埔鄉,大埔鄉"
三重溪,,臺南市,白河區
三重歷溪,,新竹縣,竹東鎮
三家春坑,,彰化縣,花壇鄉
三峽溪,,新北市,"土城區,三峽區,樹林區"
三崁排水,,臺中市,外埔區
三張廍排水北支線,,屏東縣,里港鄉
三張廍排水幹線,,屏東縣,里港鄉
三條圳幹線第一支線,,彰化縣,溪州鄉
三條崙漁港,,雲林縣,四湖鄉
三棧北溪,,花蓮縣,秀林鄉
